20:09:20.375108 config: drop-rate=0.00, max-delay=0s, seed=1649722160373807000
20:09:20.382207 router is listening at :3000
20:11:38.967786 [queue=0] packet #0, 127.0.0.1:57322 -> 127.0.0.1:8007, sz=0 is delivered
20:11:38.968493 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57322, sz=0 is delivered
20:11:38.969290 [queue=0] packet #0, 127.0.0.1:57322 -> 127.0.0.1:8007, sz=0 is delivered
20:11:38.971284 [queue=0] packet #0, 127.0.0.1:57322 -> 127.0.0.1:8007, sz=67 is delivered
20:11:38.972282 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57322, sz=67 is delivered
20:11:39.019901 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57322, sz=187 is delivered
20:11:39.022588 [queue=0] packet #1, 127.0.0.1:57322 -> 127.0.0.1:8007, sz=187 is delivered
20:11:39.046806 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57322, sz=0 is delivered
20:11:39.047800 [queue=0] packet #1, 127.0.0.1:57322 -> 127.0.0.1:8007, sz=0 is delivered
20:13:18.668135 [queue=0] packet #0, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=0 is delivered
20:13:18.669121 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=0 is delivered
20:13:18.671125 [queue=0] packet #0, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=0 is delivered
20:13:18.673063 [queue=0] packet #0, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=70 is delivered
20:13:18.674066 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=70 is delivered
20:13:18.687920 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=1013 is delivered
20:13:18.688993 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=1013 is delivered
20:13:18.690234 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=1013 is delivered
20:13:18.690786 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=1013 is delivered
20:13:18.694289 [queue=0] packet #5, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=1013 is delivered
20:13:18.695293 [queue=0] packet #1, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=1013 is delivered
20:13:18.696291 [queue=0] packet #2, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=1013 is delivered
20:13:18.697589 [queue=0] packet #3, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=1013 is delivered
20:13:18.700279 [queue=0] packet #4, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=1013 is delivered
20:13:18.701751 [queue=0] packet #5, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=1013 is delivered
20:13:18.743809 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=437 is delivered
20:13:18.745803 [queue=0] packet #6, 127.0.0.1:64751 -> 127.0.0.1:8007, sz=437 is delivered
20:13:18.937711 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:64751, sz=0 is delivered
