18:55:44.462048 config: drop-rate=0.20, max-delay=10ms, seed=1
18:55:44.462417 router is listening at :3000
18:58:12.340777 config: drop-rate=0.00, max-delay=0s, seed=1637539092340652000
18:58:12.341534 router is listening at :3000
18:27:14.537802 config: drop-rate=0.00, max-delay=0s, seed=1638314834537361000
18:27:14.538425 router is listening at :3000
18:30:35.073166 [queue=0] packet #0, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=0 is delivered
18:30:35.074310 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=0 is delivered
18:30:35.077080 [queue=0] packet #0, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=0 is delivered
18:30:35.077186 [queue=0] packet #0, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=70 is delivered
18:30:35.079690 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=70 is delivered
18:30:35.099308 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=1013 is delivered
18:30:35.099392 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=1013 is delivered
18:30:35.099469 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=1013 is delivered
18:30:35.102785 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=1013 is delivered
18:30:35.102885 [queue=0] packet #5, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=1013 is delivered
18:30:35.107052 [queue=0] packet #1, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=1013 is delivered
18:30:35.109386 [queue=0] packet #2, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=1013 is delivered
18:30:35.109512 [queue=0] packet #3, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=1013 is delivered
18:30:35.109565 [queue=0] packet #4, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=1013 is delivered
18:30:35.110119 [queue=0] packet #5, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=1013 is delivered
18:30:35.127916 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=437 is delivered
18:30:35.128293 [queue=0] packet #6, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=437 is delivered
18:30:35.137335 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:50841, sz=0 is delivered
18:30:35.138191 [queue=0] packet #6, 127.0.0.1:50841 -> 127.0.0.1:8007, sz=0 is delivered
18:31:32.517493 [queue=0] packet #0, 127.0.0.1:63313 -> 127.0.0.1:8007, sz=0 is delivered
18:31:32.518952 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:63313, sz=0 is delivered
18:31:32.520525 [queue=0] packet #0, 127.0.0.1:63313 -> 127.0.0.1:8007, sz=0 is delivered
18:31:32.520818 [queue=0] packet #0, 127.0.0.1:63313 -> 127.0.0.1:8007, sz=67 is delivered
18:31:32.521686 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:63313, sz=67 is delivered
18:31:32.522835 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:63313, sz=187 is delivered
18:31:32.523358 [queue=0] packet #1, 127.0.0.1:63313 -> 127.0.0.1:8007, sz=187 is delivered
18:31:32.543322 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:63313, sz=0 is delivered
18:31:32.545002 [queue=0] packet #1, 127.0.0.1:63313 -> 127.0.0.1:8007, sz=0 is delivered
18:31:50.732449 [queue=0] packet #0, 127.0.0.1:53232 -> 127.0.0.1:8007, sz=0 is delivered
18:31:50.733509 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:53232, sz=0 is delivered
18:31:50.735130 [queue=0] packet #0, 127.0.0.1:53232 -> 127.0.0.1:8007, sz=0 is delivered
